	SRR5712482	SRR5712483	SRR5712484	SRR5712485	SRR5712486	SRR5712487	SRR5712488	SRR5712489	SRR5712490	SRR5712491	SRR5712492	SRR5712493	SRR5712494	SRR5712495	SRR5712496	SRR5712497	SRR5712498	SRR5712499	SRR5712500	SRR5712501	SRR5712502	SRR5712503	SRR5712504	SRR5712505	SRR5712506	SRR5712507	SRR5712508	SRR5712509	SRR5712510	SRR5712511	SRR5712512	SRR5712513	SRR5687235	SRR5687236	SRR5687237	SRR5687238	SRR5687239	SRR5687240	SRR5687241	SRR5687242	SRR5687243	SRR5687244	SRR5687245	SRR5687246
ENSG00000270103.3|lncRNA|AL360012.1|ENSG00000270103.3|ENSG00000270103.3|0|131	-0.6655933856000753	-0.10534570393773729	0.17074002191441245	-0.3511010436631738	-0.18530857725967012	-0.10340886746688827	-0.46128447133720646	0.7435846675011346	-0.45338491035347644	-0.000347571986782777	-0.41938814093620125	0.7027823151226364	-0.043694059507265834	0.000347571986782777	-0.8619492015933111	0.2825178831232328	0.02209200006931088	0.14105965189118302	-0.2081589097303301	-0.2522430791880603	-0.24396893066818337	-0.8934606256050548	-0.1812007424439075	-0.33259028545810976	-0.07785980461868416	-0.2365148772800044	-0.7903512711655298	0.3520642002474605	0.13552367128713916	-1.0398490961392912	0.12093610559198037	-0.1468229039349647	1.1675433164934705	1.1125300675039127	0.48656072477956797	0.9648581435561262	0.7850961263039832	1.0648787592132156	1.4543541709407422	1.5729786350633854	1.3620565389190937	1.2522431618739658	1.5743608054008924	1.0971092232374735
ENSG00000184007.18|mRNA|PTP4A2|ENSG00000184007.18|ENSG00000184007.18|0|6267	-0.17695094953366544	-0.07304160730800399	-0.8818789974152241	-0.2563763228708536	-0.17265602945038713	-0.17289400417956322	-0.9283589379514803	-0.15499428961850914	-0.6784146947364514	-0.6353275085550242	0.20220721331717445	-0.497361042757224	0.7024252248226328	0.8786119000663355	0.06732046723669818	-0.437515705584175	0.2885519220064661	0.3163399091389598	-0.4668280620534411	-0.3172613157985888	-1.294468248992311	-0.879918754185113	0.3364345702691813	0.240335814591859	-0.06732046723670661	-0.13669188955983022	-0.48291236819932687	0.20366475714626875	-0.15116380639163407	0.318963104414417	-0.4284753531136827	-0.39081741067177683	0.5798712355390373	1.2437274992464595	1.273190445116295	0.49452757662053476	0.3423337696832316	1.2810305785135385	1.1303523529537558	0.6594587082538835	0.7952855288672213	0.9774833531972387	0.8198146548389896	0.6912547929643895
ENSG00000186517.13|mRNA|ARHGAP30|ENSG00000186517.13|ENSG00000186517.13|0|5064	-0.7826871969564072	-0.5452675693657658	-0.03780744813060644	-0.5997798947252619	-0.0009376228163437599	-0.27078800205828213	0.422626019107205	0.4683481709916269	-0.8781645749926135	-0.7044954383885855	0.0009376228163427668	-0.9112762675393815	-0.6458149033608417	-0.5358605146272942	0.16689038665254616	-0.10470745935311737	-1.144031211394163	0.2487507580729329	-0.5358397740872539	-1.0041241877279856	0.2818686747019668	-0.32600298716760223	0.2089663646720447	0.0045554644800278755	-0.4360707402130526	-0.3291559836082576	-0.26257548761585553	-0.28487422871113594	0.14715308788122217	-0.5409247519434836	0.006301683783796444	-0.9452056343565607	0.7325699524319785	0.5905636088653604	1.3056818275705095	0.7286333982073264	0.7723561788594224	0.7710509885875452	0.42440671496518384	0.821724594697783	0.8682552011801139	0.6029187328604865	0.6884130800910219	0.4610485110610017
ENSG00000043462.11|mRNA|LCP2|ENSG00000043462.11|ENSG00000043462.11|0|7244	-0.3620876609390431	-0.9291069626672385	-1.112826590614363	-0.6706703129397723	0.27953411627915975	0.13327498317391168	0.49791915959229743	0.3266444512893756	-1.548608657369221	0.13357531429137812	-1.4237432286359515	-0.4035624193801902	0.010205254924633658	-0.7233208405158212	-0.0069928131499332555	-0.4786128721269396	0.009921085256737558	-0.11374402315661865	-1.6423598819326692	-0.5665199410191772	0.0069928131499332555	-0.011142261230326297	0.2490168427637413	-0.1601836454351279	-0.8298246109766582	-0.45849346091131626	-0.6698692074912609	0.045397297349900875	-0.8626815924301794	-0.090213976762408	-1.141740426246639	-1.5559111546175985	0.35816319815494146	0.6408471199174254	0.8574155789204911	0.3397887107183183	0.8107096795902592	1.3004104516371202	0.29365544149178874	0.039002579240848795	0.8546003181735278	0.9101159354212303	0.9173012842772447	0.8743699092270368
ENSG00000197153.4|mRNA|HIST1H3J|ENSG00000197153.4|ENSG00000197153.4|0|775	0.37901945306976675	0.005204217259108811	-1.0061340774912366	-1.3083372271795035	0.6484428533086515	0.510759981175431	-0.17879911865662979	-0.4723607373199345	-0.480295082311756	0.2624301649002273	-0.5301815405299223	-0.9089562876612937	0.3084665883172185	0.4320843350076159	-1.5875354182156278	-0.28772983719237377	-0.6811694072843074	-0.7176539811540332	-0.28296423519557784	-0.5011733960364969	-0.9044196255940739	-1.6086516314737827	-0.44141364506302627	-0.2159986233924731	0.1910760466105207	-1.1061602740952403	-0.024016394893265403	-0.7725656738261781	0.29123970035348345	0.39087388997721506	-0.005204217259106817	-0.6024423922119624	0.19602795765617279	0.6225989444548911	1.27287174556296	1.014202599512208	0.9848738377534263	0.43195537999010764	0.25385688261045125	1.1862060792719136	1.0262001308191395	2.076123011161865	0.8807229215276947	1.1836998680251651
ENSG00000222328.1|snRNA|RNU2-2P|ENSG00000222328.1|ENSG00000222328.1|0|191	-1.6078393483437683	-0.3240961799886092	-1.4158087369648202	-2.389911868907565	0.08166696203609074	0.36559182851082095	-1.2035822664136755	-0.4322071752208509	-0.11287567630567948	0.4842056877945131	0.028933458070050225	-0.03777214108854624	0.6928554891821376	-0.3877840145899331	-0.4194902006077781	-0.3659245753318951	0.14126766019841933	0.1458936101246677	0.13207093108579476	-0.06737284926109964	-0.8785873748756889	-0.8367643209775966	-0.8708113303662586	-0.7154649384002107	-0.3776479410273793	0.19769108548955186	-0.6693862460361075	0.32338947853810895	-0.9521564424550344	-1.1779642774552974	-0.028933458070050225	-0.14358064281428365	1.8601313137628661	1.4447361238409508	0.14528853366483754	0.9393442224356537	0.5813751649177991	1.2313664173763315	1.6464714406786252	0.7488825912489216	1.3926282777555845	1.8304787283475752	2.5665564743807017	0.4694394306036278
ENSG00000202538.1|snRNA|RNU4-2|ENSG00000202538.1|ENSG00000202538.1|0|141	0.3090079121270515	-1.509395153855285	-0.23267003142434325	-0.9843126506196872	-0.41602394828775113	-0.2356900734978487	-1.2801898587090954	0.7006502440589476	-0.36728772213744115	0.24100043897731815	-0.150477572253347	-0.08834172289779477	0.547616570946512	0.23089388812018222	-0.10914305697850793	0.11852621280969126	0.0631780699299428	-0.2134687479018803	-0.06044540898859185	0.36710769283524886	-0.28203748058057726	-0.43390737965580684	0.0024245005655491618	-0.47661631317168013	-1.503260190823524	-0.8566335228604554	-0.29969910882637524	-0.0024245005655491618	0.10385156601868364	-0.2946831365320901	-0.23549523397233474	-0.3590869972500359	1.3166849399834608	1.745661525384631	0.7143007494005126	1.492260848531417	1.8915277610891592	2.114719217933434	1.1821512398926841	0.6071918338300085	1.552966062480279	1.600228626283582	2.228270425816958	1.0888000643771045
ENSG00000264940.4|snoRNA|SNORD3C|ENSG00000264940.4|ENSG00000264940.4|0|581	-0.25551182798583827	-0.28361652830969136	0.012024709575187302	-1.6472774100421734	-0.6186175854633305	-0.4268622558265373	-0.21151350216472556	0.4244470455864053	0.45374755454349214	0.4053143463756981	-0.6235729968048611	0.5480759674315923	-0.012024709575187302	-0.4812984272101903	-0.1221710089708335	0.03984953740302	1.1499670086788718	0.016428457556244554	-0.12716252174275344	-0.13373676173663926	0.5940820358418264	-1.0548682325291736	-0.09459830604765952	-0.5494120722903483	-1.7796313994864146	-0.20283826599602367	-0.2101429552959406	0.12641563375592116	-0.18068151969822235	-1.1441913644093613	-0.6503660701373634	-1.2172534463651485	1.1562046144624407	1.5300874756251353	0.9400420517189112	1.234742747392333	1.3846528786748684	1.5422478795961103	1.8187349234130006	0.036257331228012994	2.7107603201499906	0.9824764839018512	2.0469603708073847	0.5915543237442416
hsa_circ_0001190|circRNA|hsa_circ_0001190|hsa_circ_0001190|hsa_circ_0001190|0|600	-0.7369057896914527	-1.1479820402987875	-0.7925005504267252	-1.6840085152872277	0.780040410065678	-0.4906364687272261	0.18503284580206567	-0.5666570170884	-0.4798769925516171	0.12176403115088312	0.10582433062741192	-1.6372552872063786	-0.05440828906747322	0.13881798971938983	-1.9364899104343647	-0.5944950875925621	-1.2721967422484786	-0.156623100859823	0.009569598532592243	0.6257555703037896	0.012767459788116145	0.053607846774229376	-0.5047053755933518	-0.40103050528086864	-0.40278644291906573	-0.1035863555718712	-0.25559245258536356	-0.6056397976828849	0.406149789354439	-0.009569598532592672	-2.4868668409863135	-0.8698791728006462	0.34263839609772667	1.6015804779535316	0.35727536792605585	1.9406661123980122	0.20340598180830086	1.474634885309033	0.6387665478146599	0.8759900774427534	0.7551884016731574	1.1844717898404156	1.4056840746042703	0.4870844930789205
hsa_circ_0060512|circRNA|hsa_circ_0060512|hsa_circ_0060512|hsa_circ_0060512|0|600	-0.38884651046932767	0.5007141010864904	-0.3631687456693345	-0.10006388679036937	-0.4809654661166249	-0.23343288229504186	-0.9482168958870569	-0.12259128563456596	-0.3375972316055481	-0.3674613775029161	0.7954833595597642	-0.9672574465037416	-0.2271470482036065	-0.856744213026734	-0.4866809688955088	0.12900724536001748	-1.5564848014178554	0.6211642764084453	0.13411166911995645	-0.4605998415699552	-0.09686928061531574	0.6642230776566382	0.26969753345323133	0.672854693473527	-0.767625504979756	-0.3518856825533886	-0.12888284060198332	0.02508894695845925	-0.23743940205165992	0.012921342945363411	0.39874171369931233	0.5414346293189275	-0.012921342945363411	0.7329111580860679	1.4104402887071317	0.6262697692774807	1.271965336371847	1.317508243152843	0.5602463014017018	0.8390945066609713	1.0776463275955164	1.342344098658461	-0.5629711733299713	1.1520554746555747
