	SRR5712482	SRR5712483	SRR5712484	SRR5712485	SRR5712486	SRR5712487	SRR5712488	SRR5712489	SRR5712490	SRR5712491	SRR5712492	SRR5712493	SRR5712494	SRR5712495	SRR5712496	SRR5712497	SRR5712498	SRR5712499	SRR5712500	SRR5712501	SRR5712502	SRR5712503	SRR5712504	SRR5712505	SRR5712506	SRR5712507	SRR5712508	SRR5712509	SRR5712510	SRR5712511	SRR5712512	SRR5712513	SRR5712516	SRR5712517	SRR5712518	SRR5712519	SRR5712520	SRR5712521	SRR5712522	SRR5712523	SRR5712524	SRR5712525	SRR5712526	SRR5712527	SRR5712528	SRR5712529	SRR5712530	SRR5712531	SRR5712532	SRR5712533	SRR5712534	SRR5712535	SRR5712536
ENSG00000270103.3|lncRNA|AL360012.1|ENSG00000270103.3|ENSG00000270103.3|0|131	-0.961845716614257	-0.2891951617205632	0.04228183099389108	-0.5842565623209394	-0.3852010406762744	-0.2868697364318957	-0.7165461659925104	0.7300566872476032	-0.7070617107184498	-0.16313118317798384	-0.6662441463417967	0.6810681311737444	-0.21517430595688092	-0.16229657199643915	-1.1975965334539742	0.17648576048423895	-0.13618954452573218	0.006646668156023132	-0.41263585088430405	-0.46556465722899837	-0.4556304606667671	-1.2354301158868326	-0.3802690481688968	-0.5620319781134785	-0.25619474773606365	-0.44668089548001144	-1.1116338615718022	0.25998520249106755	0.0	-1.4111886047800366	-0.017514278917285495	-0.33899396054966197	1.058506296626008	0.20832474307509583	0.6271779789150677	0.05757192591804256	0.2230942172990055	-0.2676367023527589	0.757891308255086	0.9153863098065508	0.8591376188933155	1.1024137852805533	0.5873641491156959	0.3797259036632719	0.995605787523075	0.5326252312381252	1.511802058095989	0.04646674871541612	0.9894275103525086	0.2514084163621535	0.933541509453805	0.13793221568256955	1.2523889816983904
ENSG00000168329.13|mRNA|CX3CR1|ENSG00000168329.13|ENSG00000168329.13|0|3655	0.16357503635266135	0.0	-0.961406797045041	-0.699231948839494	-0.011724571506683646	-0.14812521385884697	-0.06090124060005926	0.6261281882299717	-0.397960761652486	-0.45813440420236157	-1.07566530544459	-1.336803457534238	-0.24464142284066262	-0.08703654088712068	0.0266277300812539	-0.08760384614544543	-0.31616774332152037	0.07546058656657938	0.20093093591343794	-1.1547718494327799	-0.20093844742864916	-1.528902100472933	0.15638355216351965	-0.8224136260217026	-0.9973801652848437	-0.13321713133300905	-0.5928220309733484	-0.9107705689079476	0.05252758704219113	0.11636826597174245	-0.3992502825168937	-1.3828261416192662	1.3120242270405018	0.5585133713668762	0.9391699436691722	0.9517341197126037	2.06628180562822	-0.9130616184530476	0.39291975219625547	0.6672894094894644	0.8770642079688679	0.015506670653270474	0.950171937671574	0.4196436217574527	-0.9740540047256393	1.1764604806093149	0.9131119174323218	0.9077112340308847	0.572596451038577	0.10721458098625708	0.3781044923726155	-0.19595509042603607	0.5418655957976385
ENSG00000109475.16|mRNA|RPL34|ENSG00000109475.16|ENSG00000109475.16|0|3393	0.3062272293823454	0.7198820569703851	0.6316968031025106	0.4361328993138312	0.2461198936052944	0.008714561971931224	-0.015082512564020689	-0.17676043279445278	0.2973275382844204	0.2099096621713584	-0.0033784539528806264	0.4109015157684215	-0.0776231299407891	0.2001411379677084	0.22381734134064818	0.09487526303745794	0.6641537476032611	0.2909800585058135	0.7586183698057538	0.9246406408179173	0.33397448342607483	-0.3283437026366439	0.11036660452672355	-0.07666809343965529	0.546968771457038	0.3326254779135378	0.27374417486099195	0.3733410886899401	0.8876914645686821	-0.24373556931786589	0.028213768041256356	0.3784607717623902	-0.8024758672484029	-0.5607801144314821	-1.0986926270101687	-1.3582510122267228	-0.803136565435041	-0.6937727706176545	0.0	-0.7401650297845577	-1.0843864546608706	-0.8322018313303517	-1.0658482100868487	-0.7894174165722753	-0.07378011895424132	0.2901480634866885	-0.5030129098192871	-1.0508592885617842	-0.12876900632456106	-1.1792756678858614	-0.7425800550398353	-1.081653794159492	-0.5778062975673832
ENSG00000254772.9|mRNA|EEF1G|ENSG00000254772.9|ENSG00000254772.9|0|2716	0.06900199325570454	0.6831910187016301	1.3459846243074958	1.3118014004939627	0.12913689812847473	0.3824262920295282	-0.08042602576902892	0.15688040054034233	0.1559286943602506	1.1199017882484918	0.013567710522260468	0.7316606367860378	-0.6606415172701927	-0.24694493694220562	0.3447990211726394	-0.02425734801702837	0.15978463702644363	0.2754551817399811	0.3077965640116619	0.8141949517814008	0.05051357149505069	-0.316542747221038	0.2702182522923068	-0.31421093592287064	0.723833212129248	0.8835080822518913	1.1164066243508917	0.33935848272980723	0.7393781248694099	-0.27610797551855765	-0.4249758440903277	0.9956088168754562	-1.1324565911759954	-0.5059927410188064	-0.7152814402354493	-2.363202493752266	-1.120806940606786	-0.5942436476806994	-0.2697115414469944	-1.082103990908818	-1.3136474038720682	-0.898946239222006	0.05631682994531603	0.0	0.14096147402155162	-0.2952812742142649	-0.8257780376602191	-1.892215712375821	-2.2997570361864237	-1.3230270694227073	-0.5276214347907834	-0.9125125064082238	-0.7772107007077275
ENSG00000135486.17|mRNA|HNRNPA1|ENSG00000135486.17|ENSG00000135486.17|0|5093	-0.09514456012599355	1.002643104657853	0.33889181873024343	0.6619703959750378	0.3037555808250411	0.13515540371849624	-0.2023764082327855	0.088556416576509	-0.3234745295199188	0.7348936771073464	-0.0973645512629271	0.6038247906019212	0.08146948460437131	-0.1957259765092481	0.0669968851405258	-0.47431174913959273	0.3959053776855462	0.17291331236523136	0.4346547822222561	0.029864245479848	0.42708417322744757	0.013857486099804892	0.05321837676251068	0.017276890918946977	0.6548225162054282	0.8614529800505898	0.7755864648062712	0.3826682193303878	0.4130757457294982	-0.44021516963981683	0.20656353661435412	0.00466472531880568	-1.8534300338906766	-1.4392396052853218	-1.1592066429304897	-1.4118043706497605	-0.6902163939541488	-0.756083939303827	-0.39472753058931903	-0.2211230020914216	-1.1484249490505938	0.01560708198187598	-0.8659973159418788	-2.2002984743973197	0.0	-0.7456290394845403	-0.8104817255026219	-1.2820382230981204	-0.39809844640730885	-1.6818702274124298	-0.8351615787782565	-0.6962444191749589	-0.3877881182211763
ENSG00000174444.14|mRNA|RPL4|ENSG00000174444.14|ENSG00000174444.14|0|5637	0.20413787542954628	0.8855357643524017	0.8618308224598944	0.567571389852032	0.4925902562285069	0.7703492279984023	0.6938369610020373	-0.0833669070125343	-0.029493289539711587	0.7988720510598879	0.2639820361834055	0.8083538435954691	-0.13658945264594685	-0.03929991539339937	-0.13430464963129335	0.2000529812226201	0.006389311594322539	0.3637099774164032	0.12250373232212708	1.2320258114605773	0.652988270762636	-0.41605536433132473	0.06872755025271866	-0.1685415633192683	0.5453845876899046	0.5547854953936404	0.8219591579008494	0.5064708278456541	0.49449804921327933	-0.07733930425870181	0.4078571367162535	1.0677496102725927	-0.18435068487844697	-0.751967009677178	-0.8937358650827147	-1.3453825655294784	-0.5330354676271178	-0.8554903477159918	-0.17116630642680633	-0.6157750775065571	-0.6840601933527864	-0.3940694977078501	-0.9058137052158157	-1.7080072677309712	0.0698826155703376	0.0	-0.49352917215434583	-1.2443958418694163	0.3363173813181115	-0.9690989323009181	-0.5727556064472049	-0.8468584472623946	-0.4583486016705882
hsa_circ_0014859|circRNA|hsa_circ_0014859|hsa_circ_0014859|hsa_circ_0014859|0|506	0.49825409326932396	0.2340114379305819	0.08272535855348477	-0.8184595568449653	-1.7133577212601385	-0.592570300609248	0.2813094239876877	-0.20656418669169005	-0.6060364574461355	-0.5110206277539638	-0.434962363072953	-0.6499309466403924	-0.4561019772007795	-0.9052292817040688	-0.9684038426116217	-1.1878118953419865	0.11690813926897886	0.0	-0.3660424714923573	-0.6318629022774811	-0.8642278337588388	0.1462144880781157	-0.3778807143481044	-0.47257698826118283	-0.6192860931931552	-0.6040761228346263	-0.11516564627664615	-0.5730493103866744	-0.5231379073327789	-0.00850556819412041	-0.29052649360494914	-0.4070307071797894	0.5762541919952874	0.5784889628703676	0.45875350769754464	-0.03138902475823422	0.9337906726113496	0.48889881543036706	0.46454096960254576	0.7695315979077029	0.5699572783360599	0.6070162360945693	0.7375254522283227	1.182162460310408	0.5529552441556356	0.21150180339202598	0.5647690512113606	1.1443402996497878	0.19406739414339977	0.4012230411876416	0.38997710157253	0.2762766974701716	0.4768620926672211
hsa_circ_0079275|circRNA|hsa_circ_0079275|hsa_circ_0079275|hsa_circ_0079275|0|600	0.1296087153221287	-0.32034112457662595	-0.05508882914538505	-0.4622391082914249	-0.8873660689832973	-1.326909747415521	0.8550590755915853	-0.27224168946812793	-1.26426810713316	-1.1752396804235778	0.21129990703356089	-0.1893885353396591	-0.027253462601188858	-0.14670437060514172	0.5891321011021947	-0.17808021201963767	-1.3725477286198526	-0.21510200755688996	-2.835002437918297	-2.006514078595804	-0.24819680972185082	0.0	-0.9143098544054798	0.0406950941550397	0.13900330880969639	-0.06534117122731484	-0.8084926233564421	-0.19197252198917814	-2.028780353442423	-0.1827559255325691	-0.11628882523916566	-0.7706703858831649	1.0225149728034624	0.022448240102114863	1.0951553895720416	1.3744556373794927	0.7277583105318721	1.4507039079289032	0.14573526798022712	1.9334471441057115	0.40584629820233487	0.19710356494410775	1.6164826704609991	1.582143494297636	0.23129842404360318	-0.24804014250224504	1.000875682909737	1.3417755928986415	0.20063677949686903	1.130658416727628	0.9097820713152698	1.0365505811549656	0.7007866929909231
hsa_circ_0089891|circRNA|hsa_circ_0089891|hsa_circ_0089891|hsa_circ_0089891|0|356	0.5767892281288592	0.05918014540617787	0.23730631476587538	0.0	-0.8675678010536871	-0.4080404162744758	0.4558383265910472	-0.6677195990502938	0.13043508321062108	-0.07245087605987993	-0.33539510610774226	-1.397769836565135	-0.5111185593447791	-0.8384048514254056	-1.0335871505311671	-1.0257517018991655	-0.789041055021383	-0.23482605847095925	-0.40298001268804556	-0.7023097601520705	-0.18233842055516744	-0.2838669774110895	-0.7952583214918217	-0.15358918591594067	-1.0123693284832411	-0.09790794851223886	0.1154227174236309	-0.8118647654158956	0.09844823177622244	-0.5942094502133596	-0.45950929924181516	-0.4473522335381601	0.4479262689328842	0.6111738984646022	0.46984314623695916	0.32093743052790624	0.02597626743824395	1.0325450569248567	-0.04001577356822902	0.22064272021153597	1.3501410134712124	0.5763171448793246	0.5602570393479895	1.2663074109500354	0.5404907007581848	-0.3777501770590289	1.332586500979347	1.1932136486191596	0.5588859466409838	0.9048689923026871	0.22659080287947173	0.976937739580046	0.7052085841063653
hsa_circ_0091254|circRNA|hsa_circ_0091254|hsa_circ_0091254|hsa_circ_0091254|0|212	-0.15508149192653928	0.10993877867248418	-1.324717476797504	0.15286666221774248	-0.49967871837715955	0.094803768326233	0.0640141826028668	-0.5882713316255697	-1.2653688556723806	-1.7820993350314782	-1.1443665082531216	-0.3372250106099611	-0.5859127914474744	-2.148755629782325	1.0754094279468327	0.559001009100052	-1.1979255633836539	0.2618550932064337	-0.102867449794411	-0.06328582971776286	-0.3044415627353761	0.0	-0.4575810485793669	-0.6946556571972	-0.7215366525666419	-0.11738731036820758	-0.35123313693294056	-0.9106324649172308	-0.7980650730853379	-0.03803319884030265	-0.709188485505466	-0.38855812464999834	0.6853654150934627	-0.006996169538714378	0.027064657846976405	0.29620300667603244	0.29636894659525365	0.9563916539982888	0.7517287087215498	1.0642233942089465	-0.04844435548521051	0.6702417848318569	0.7020569514692201	0.45083146972043425	0.17939459925877674	0.5632974653374071	0.6907308084801496	0.29115930028373804	0.6588799105616264	0.5003212816228405	0.5322510523532524	0.6750692638349184	0.255890411380202
